user_id,first_name,last_name,email,country,signup_date
1,Ray,Mcclure,jasminewhite@example.com,Colombia,2025-03-18
2,Drew,Norton,ryancrystal@example.com,Bolivia,2025-03-20
3,Charles,Humphrey,mark39@example.net,Uruguay,2025-03-16
4,Paul,Smith,elizabeth50@example.org,Kenya,2025-03-19
5,Lisa,Johnson,sarnold@example.com,Venezuela,2025-03-16
6,Jeff,Wells,angela01@example.net,Ecuador,2025-03-22
7,Christopher,Cline,sjackson@example.com,Nigeria,2025-03-16
8,Shawn,Wilkins,sabrinaavila@example.org,Portugal,2025-03-16
9,Kristina,Jimenez,biancaking@example.com,Peru,2025-03-21
10,Charles,Huff,john68@example.org,Colombia,2025-03-20
11,Matthew,Moreno,markmurphy@example.com,Kenya,2025-03-20
12,Daniel,Rowe,andrewstiffany@example.com,Peru,2025-03-19
13,Rachel,Sosa,barnettjulie@example.com,Spain,2025-03-15
14,Courtney,Browning,alexander49@example.org,Kenya,2025-03-18
15,Kevin,Williams,thompsonvicki@example.com,Italy,2025-03-16
16,Stephanie,Doyle,mannteresa@example.com,Turkey,2025-03-21
17,Steven,Daniel,williamking@example.net,Ecuador,2025-03-20
18,Roger,Perez,monicahughes@example.org,Kenya,2025-03-19
19,Amy,Conner,dana26@example.org,Spain,2025-03-21
20,Kristin,Pittman,diazarthur@example.com,Uruguay,2025-03-15
21,Darlene,Fischer,cochranvictor@example.com,Italy,2025-03-18
22,Anna,Dunn,mcphersonelizabeth@example.com,India,2025-03-21
23,Candice,Hall,davidsalas@example.org,Nigeria,2025-03-17
24,Kelly,Randall,wendy65@example.com,Venezuela,2025-03-18
25,Laura,Hansen,danielwarner@example.net,Spain,2025-03-19
26,Alexander,Chambers,autumn78@example.com,Paraguay,2025-03-22
27,Brandon,Rice,david42@example.net,Spain,2025-03-22
28,Jennifer,Cooper,ureynolds@example.net,South Africa,2025-03-16
29,Jack,Duke,ellisonrobert@example.net,Colombia,2025-03-17
30,Andrew,Pena,bennetttiffany@example.net,United Kingdom,2025-03-16
31,Jessica,Herman,zwilliams@example.org,India,2025-03-17
32,Christina,Fowler,bruce05@example.org,Portugal,2025-03-17
33,Douglas,Love,jessica20@example.org,Peru,2025-03-21
34,Kathryn,Watkins,benjaminwilliamson@example.com,Nigeria,2025-03-15
35,Guy,Phelps,danacollins@example.org,Brazil,2025-03-21
36,Jesus,Perez,kevinwolfe@example.net,Venezuela,2025-03-22
37,Dustin,Watkins,jacqueline01@example.com,Brazil,2025-03-15
38,Anthony,Herman,kingpamela@example.org,Paraguay,2025-03-21
39,Steven,Robinson,grahamdiane@example.org,Peru,2025-03-17
40,Michael,Hodges,wgreen@example.org,Ecuador,2025-03-18
41,David,Brennan,christopher60@example.com,Portugal,2025-03-18
42,Ian,Lee,sarakane@example.org,Peru,2025-03-21
43,Lisa,Carr,tmann@example.com,Germany,2025-03-19
44,Tammy,Smith,christopher62@example.com,Ecuador,2025-03-22
45,Kim,Webb,jeffrey91@example.com,United States,2025-03-18
46,Keith,Robinson,gvasquez@example.net,India,2025-03-22
47,Valerie,Jordan,valeriewilliams@example.net,United States,2025-03-17
48,Nicole,Duke,paul59@example.com,Uruguay,2025-03-15
49,Brittney,Thompson,ihudson@example.com,Venezuela,2025-03-20
50,Ricky,Levine,april97@example.org,Spain,2025-03-22
51,Kenneth,Jones,robertrogers@example.org,France,2025-03-19
52,Angela,Mendoza,edwardwells@example.org,Argentina,2025-03-22
53,Tony,Watkins,mmontgomery@example.org,Peru,2025-03-17
54,Tracy,Anderson,cohenmeredith@example.com,South Africa,2025-03-21
55,Matthew,Noble,thompsondaniel@example.net,Italy,2025-03-21
56,Douglas,Bender,jenkinsjames@example.org,Paraguay,2025-03-16
57,Carol,Rice,jason27@example.com,Brazil,2025-03-20
58,Tracey,Wagner,justinmiller@example.com,Paraguay,2025-03-21
59,Melissa,Shaw,mitchelljohnson@example.org,Uruguay,2025-03-22
60,Robert,Moore,smithrandy@example.com,Brazil,2025-03-17
61,Kevin,Vincent,jessicathompson@example.net,Venezuela,2025-03-20
