demo_id,user_id,employer_id,attended_demo,demo_date,first_name,last_name,email,country_x,signup_date,logins_last_30_days,messages_sent,profile_completed,company_name,industry,country_y,days_since_signup,engagement_score
1,2290,374,True,2025-03-15,Joshua,King,william79@example.net,Paraguay,2024-12-18,11,6,True,Mcgee-Villarreal,Finance,Venezuela,87,8.0
2,3725,1184,True,2025-03-15,Raymond,Hatfield,wukatie@example.com,Chile,2024-10-15,0,8,True,Miranda-Love,Education,Germany,151,4.8
3,7,865,True,2025-03-15,Rebecca,Todd,timothyross@example.com,Venezuela,2025-03-17,3,13,False,West Inc,Education,Ecuador,-2,9.0
4,3484,289,True,2025-03-15,Natalie,Bell,clarkpaige@example.net,Spain,2024-10-01,14,46,False,Schmidt Inc,Healthcare,Bolivia,165,33.199999999999996
5,932,51,True,2025-03-15,Kristina,Lewis,woodsapril@example.org,Paraguay,2025-03-21,9,25,True,Smith Group,Education,Bolivia,-6,18.6
6,4416,1174,True,2025-03-15,Jeff,Williams,fschaefer@example.org,Kenya,2024-12-19,12,6,True,"""Robinson"," Gilbert and Gallagher""","Education,Bolivia",86,8.4
7,3975,1123,True,2025-03-15,Brandy,Duran,abigailhardy@example.org,USA,2025-01-20,8,3,False,Watson-Chandler,Tech,Mexico,54,5.0
8,3636,943,True,2025-03-15,Gary,Hartman,dcalderon@example.org,Ecuador,2025-01-27,8,3,False,Pearson-Brown,Finance,UK,47,5.0
9,577,212,True,2025-03-15,Lisa,Allen,wyattcynthia@example.org,India,2025-03-19,12,38,False,Richards-Dennis,Finance,Mexico,-4,27.6
10,1506,1098,True,2025-03-15,Olivia,Gonzales,cookroger@example.org,Colombia,2024-09-18,9,25,True,Best-Padilla,Finance,Argentina,178,18.6
11,330,266,True,2025-03-15,Paula,Fernandez,jeffrey72@example.net,Venezuela,2025-03-22,15,32,True,Brown and Sons,Tech,Brazil,-7,25.2
12,4705,507,True,2025-03-15,David,Phelps,brian27@example.net,USA,2024-11-26,13,29,False,"""Ramirez"," Brown and Drake""","Tech,Chile",109,22.599999999999998
13,3039,1199,True,2025-03-15,Anne,Barnes,browntravis@example.net,Turkey,2024-11-12,5,39,False,"""Nunez"," Clarke and Herman""","Finance,Bolivia",123,25.4
14,1167,433,True,2025-03-15,Michelle,Anderson,jjohnson@example.com,Argentina,2025-03-18,13,29,False,Davis Inc,Finance,Turkey,-3,22.599999999999998
15,1378,865,True,2025-03-15,Angel,Simon,humphreytanya@example.net,Italy,2025-03-18,8,45,True,West Inc,Education,Ecuador,-3,30.2
16,654,897,True,2025-03-15,April,Schultz,jjohnson@example.com,Argentina,2025-03-20,15,33,True,Martinez Ltd,Tech,Colombia,-5,25.8
17,4804,176,True,2025-03-15,Eddie,Roberts,xmunoz@example.org,Mexico,2025-02-11,14,41,False,Olson Ltd,Tech,Bolivia,32,30.2
18,3121,1195,True,2025-03-15,Brittany,Copeland,johnsonsandra@example.net,Spain,2025-03-13,3,20,True,Wallace-Pena,Education,South Africa,2,13.2
19,2012,1151,True,2025-03-15,David,Perry,pcherry@example.org,Argentina,2025-01-03,9,2,True,Herrera Group,Education,Brazil,71,4.8
20,2206,95,True,2025-03-15,Craig,Williams,gabriel59@example.org,France,2025-01-31,7,29,False,Reynolds LLC,Healthcare,Mexico,43,20.2
21,1259,1126,True,2025-03-15,Michelle,Roman,qwhite@example.com,Greece,2025-03-17,5,13,True,Rodriguez Group,Tech,Chile,-2,9.8
